province,correlation,rmse,ubrmse,bias
central,0.37961794736591326,1.189460431887008,0.3023760382794042,1.150384653278754
copperbelt,-0.06165079951855998,1.0694032003275766,0.20291092814132694,1.0499763616918663
eastern,0.4733699558649426,1.7727776702623232,0.16229231128178243,1.7653333605524846
luapula,0.13710390147135812,0.9863935712770044,0.18399852018452523,0.9690804001869546
lusaka,0.28752174883465986,1.203676042158283,0.3357562475366304,1.1558995443834856
muchinga,0.20561713296680662,0.5360101786677673,0.18833545839109178,0.5018333057381399
northern,0.5719400783834475,1.078417780420909,0.22535730931573847,1.0546084544824823
northwestern,-0.39095156960507144,1.3078190747322982,0.3476199214318572,1.260774017204255
southern,0.42291762359349355,1.8113830368013568,0.375846019423398,1.771961702660442
western,0.16524243468866603,2.6514868080288854,0.26085304010438615,2.638624259840629
