province,year,area_ha,area_percent,basaldressing_mt,basaldressing_percent,topdressing_mt,topdressing_percent,season,index,production_mt,production_percent,sold_mt,sold_percent,yield,zyield,flag
central,2011,245816.5,15.7,"16,846.3",14.9,"16,932.5",14.8,2011-2012,4.0,533324.9,18.2,"5,531.9",26.4,2.1696057831756614,0.3826006813778494,0
central,2012,233165.8,15.3,"18,591.6",12.7,"17,711.1",12.3,2012-2013,4.0,401985.6,15.8,"200,918.8",16.3,1.7240332844696777,-1.4853227383882612,0
central,2013,243364.9,16.2,"27,165.2",14.9,"27,041.1",15.2,2013-2014,4.0,579653.3,19.9,"330,316.2",21.5,2.3818278642482955,1.2722754179882305,0
central,2014,284437.2,17.1,"32,086.1",20.1,"32,615.8",19.5,2014_2015,4.0,579653.3,19.9,"330,316.2",21.5,2.037895535464419,-0.16955336097782153,0
copperbelt,2011,90339.7,5.8,"7,742.2",6.8,"8,316.8",7.3,2011-2012,5.0,184011.8,6.3,"1,984.8",9.5,2.0368874370846926,-1.0358130599118878,0
copperbelt,2012,85847.9,5.7,"10,151.1",6.9,"9,881.8",6.9,2012-2013,5.0,178658.6,7.0,"100,634.4",8.2,2.08110623556313,-0.7714749915362129,0
copperbelt,2013,85262.0,5.7,"9,784.5",5.3,"9,574.3",5.4,2013-2014,5.0,209761.6,7.2,"114,818.0",7.5,2.4602003237081,1.4947331018778205,0
copperbelt,2014,92714.6,5.6,"11,661.0",7.3,"12,041.1",7.2,2014_2015,5.0,209761.6,7.2,"114,818.0",7.5,2.262444102654814,0.31255494957028274,0
eastern,2011,346435.2,22.1,"23,303.0",20.6,"23,610.0",20.7,2011-2012,6.0,643657.3,21.9,"3,263.2",15.5,1.8579442851072872,1.6574224856592534,0
eastern,2012,343087.0,22.6,"27,260.4",18.6,"26,428.2",18.4,2012-2013,6.0,600078.1,23.6,"223,742.0",18.2,1.749055195912407,-0.35375532809378596,0
eastern,2013,354877.0,23.7,"34,146.4",18.7,"33,819.1",19.0,2013-2014,6.0,622136.1,21.3,"266,767.5",17.4,1.7531034696528656,-0.2789838483155151,0
eastern,2014,363242.4,21.9,"33,289.1",20.8,"34,877.8",20.9,2014_2015,6.0,622136.1,21.3,"266,767.5",17.4,1.712729846515715,-1.0246833092499483,0
luapula,2011,46036.8,2.9,"5,587.5",4.9,"5,458.4",4.8,2011-2012,7.0,119962.0,4.1,"1,427.4",6.8,2.605784937267577,0.7766029633509364,0
luapula,2012,45310.3,3.0,"14,011.4",9.6,"14,081.6",9.8,2012-2013,7.0,114078.6,4.5,"72,118.1",5.9,2.517718929250082,-0.5536965840690479,0
luapula,2013,51073.4,3.4,"13,889.4",7.6,"13,896.6",7.8,2013-2014,7.0,134269.6,4.6,"91,558.7",6.0,2.6289536236083753,1.1265824122588088,0
luapula,2014,54469.6,3.3,"8,462.7",5.3,"8,465.1",5.1,2014_2015,7.0,134269.6,4.6,"91,558.7",6.0,2.4650373786479065,-1.349488791540684,0
lusaka,2011,47431.6,3.0,"4,136.7",3.7,"4,196.4",3.7,2011-2012,8.0,105792.0,3.6,744.7,3.5,2.230411792981894,1.1912111057352275,0
lusaka,2012,52731.4,3.5,"6,373.8",4.4,"6,321.7",4.4,2012-2013,8.0,108262.8,4.3,"52,803.8",4.3,2.0530992918830147,-0.6458874796196642,0
lusaka,2013,44578.4,3.0,"9,312.4",5.1,"6,859.9",3.8,2013-2014,8.0,97448.6,3.3,"40,281.2",2.6,2.186004881287799,0.7311201694074584,0
lusaka,2014,48914.1,2.9,"5,991.1",3.7,"6,021.1",3.6,2014_2015,8.0,97448.6,3.3,"40,281.2",2.6,1.9922394565166284,-1.2764437955230241,0
muchinga,2011,84164.4,5.4,"10,244.1",9.1,"10,059.3",8.8,2011-2012,9.0,200554.5,6.8,"1,474.2",7.0,2.3828899154511887,-1.4874558939339328,0
muchinga,2012,83361.9,5.5,"15,158.2",10.3,"14,934.2",10.4,2012-2013,9.0,230841.2,9.1,"130,897.4",10.6,2.769145137047021,0.915496797986827,0
muchinga,2013,89062.4,5.9,"20,631.8",11.3,"20,694.3",11.6,2013-2014,9.0,246587.9,8.5,"146,475.5",9.5,2.7687093543403276,0.9127857272501919,0
muchinga,2014,96053.2,5.8,"13,037.6",8.2,"13,092.3",7.8,2014_2015,9.0,246587.9,8.5,"146,475.5",9.5,2.567201300945726,-0.34082663130308616,0
northern,2011,113353.1,7.2,"13,891.3",12.3,"13,690.9",12.0,2011-2012,10.0,256023.8,8.7,"1,878.9",9.0,2.258639596093975,-0.836571246618482,0
northern,2012,105696.5,7.0,"24,645.7",16.8,"24,648.3",17.2,2012-2013,10.0,256749.5,10.1,"166,305.6",13.5,2.429120169542038,-0.053529766572021575,0
northern,2013,101165.0,6.7,"27,042.6",14.8,"26,913.0",15.1,2013-2014,10.0,283250.4,9.7,"223,188.5",14.5,2.7998853358374935,1.6494472864358012,0
northern,2014,124480.9,7.5,"18,518.0",11.6,"18,684.2",11.2,2014_2015,10.0,283250.4,9.7,"223,188.5",14.5,2.275452699972446,-0.7593462732452935,0
northwestern,2011,78474.8,5.0,"6,119.7",5.4,"6,277.0",5.5,2011-2012,11.0,158371.1,5.4,"1,119.9",5.3,2.0181140952254735,-0.6788975513835808,0
northwestern,2012,69985.8,4.6,"9,558.5",6.5,"9,438.7",6.6,2012-2013,11.0,133543.0,5.3,"63,632.6",5.2,1.90814422354249,-1.055204162989973,0
northwestern,2013,73298.8,4.9,"9,999.6",5.5,"9,752.8",5.5,2013-2014,11.0,195584.8,6.7,"104,870.3",6.8,2.668321991628785,1.546053033632979,0
northwestern,2014,86105.1,5.2,"9,154.0",5.7,"10,062.1",6.0,2014_2015,11.0,195584.8,6.7,"104,870.3",6.8,2.2714659178143917,0.1880486807405763,0
southern,2011,385037.3,24.5,"22,772.2",20.1,"23,120.3",20.3,2011-2012,12.0,591965.7,20.1,"2,949.6",14.1,1.5374242962954496,1.4827191746544965,0
southern,2012,379433.9,25.0,"18,341.1",12.5,"17,726.5",12.4,2012-2013,12.0,434767.1,17.1,"190,750.1",15.5,1.1458309339255137,-1.1196065022330182,0
southern,2013,357272.8,23.8,"27,695.6",15.1,"26,553.8",14.9,2013-2014,12.0,486200.8,16.7,"199,691.5",13.0,1.360867102113567,0.30941195341339794,0
southern,2014,400789.7,24.1,"25,580.9",16.0,"28,200.8",16.9,2014_2015,12.0,486200.8,16.7,"199,691.5",13.0,1.213107023458936,-0.6725246258348765,0
western,2011,133192.3,8.5,"2,509.8",2.2,"2,470.4",2.2,2011-2012,13.0,144632.1,4.9,617.6,2.9,1.0858893494593909,1.6859241621389265,0
western,2012,120463.1,7.9,"2,381.4",1.6,"2,293.8",1.6,2012-2013,13.0,82998.5,3.3,"29,798.4",2.4,0.6889952192829173,-0.22740305418943166,0
western,2013,99373.2,6.6,"3,257.5",1.8,"3,300.1",1.8,2013-2014,13.0,61120.6,2.1,"16,012.7",1.0,0.6150612036243173,-0.583820430050214,0
western,2014,110182.4,6.6,"2,154.6",1.3,"2,852.6",1.7,2014_2015,13.0,61120.6,2.1,"16,012.7",1.0,0.5547219882667287,-0.8747006778992804,0
