,province,correlation,rmse,ubrmse,bias
0,central,0.24599148333277604,2.1542933436095653,0.298520504271809,2.141648019524123
1,copperbelt,-0.1751941491969994,1.9912468842010844,0.23844444885492674,1.9829876419139825
2,eastern,0.6365373072292209,2.4470417873035637,0.1840017797384806,2.4466853007029314
3,luapula,-0.025226665040304987,1.672983176898927,0.20170485766951526,1.6712364911398478
4,lusaka,-0.18845256797734208,2.110602860226019,0.22074170899791817,2.107554060999333
5,muchinga,-0.9122846014881854,1.616865192894849,0.27632130592120974,1.6038066393608377
6,northern,-0.677198569005976,1.7945082545543352,0.3050586046562206,1.7775275635274013
7,northwestern,-0.22752345659305623,2.023189214137629,0.3522782107276187,2.0005526096138815
8,southern,0.6130668553356353,2.9076253011382502,0.22799451264685058,2.904601938829411
9,western,0.4602222842773534,3.5016652040558043,0.2747737451746113,3.4963542577583278
