province,hactares,season,province,production,season
Central,245816.5,2011-2012,Central,533324.9,2011-2012
Copperbelt,90339.7,2011-2012,Copperbelt,184011.8,2011-2012
Eastern,346435.2,2011-2012,Eastern,643657.3,2011-2012
Luapula,46036.8,2011-2012,Luapula,119962,2011-2012
Lusaka,47431.6,2011-2012,Lusaka,105792,2011-2012
Muchinga,84164.4,2011-2012,Muchinga,200554.5,2011-2012
Northern,113353.1,2011-2012,Northern,256023.8,2011-2012
North Western,78474.8,2011-2012,North Western,158371.1,2011-2012
Southern,385037.3,2011-2012,Southern,591965.7,2011-2012
Western,133192.3,2011-2012,Western,144632.1,2011-2012
Central,233165.8,2012-2013,Central,401985.6,2012-2013
Copperbelt,85847.9,2012-2013,Copperbelt,178658.6,2012-2013
Eastern,343087,2012-2013,Eastern,600078.1,2012-2013
Luapula,45310.3,2012-2013,Luapula,114078.6,2012-2013
Lusaka,52731.4,2012-2013,Lusaka,108262.8,2012-2013
Muchinga,83361.9,2012-2013,Muchinga,230841.2,2012-2013
Northern,105696.5,2012-2013,Northern,256749.5,2012-2013
North Western,69985.8,2012-2013,North Western,133543,2012-2013
Southern,379433.9,2012-2013,Southern,434767.1,2012-2013
Western,120463.1,2012-2013,Western,82998.5,2012-2013
Central,243364.9,2012-2013,Central,591404.3,2013-2014
Copperbelt,85262,2012-2013,Copperbelt,183093.8,2013-2014
Eastern,354877,2012-2013,Eastern,789574.2,2013-2014
Luapula,51073.4,2012-2013,Luapula,143007.9,2013-2014
Lusaka,44578.4,2012-2013,Lusaka,107239.4,2013-2014
Muchinga,89062.4,2012-2013,Muchinga,249917.2,2013-2014
Northern,101165,2012-2013,Northern,270002.5,2013-2014
North Western,73298.8,2012-2013,North Western,165537.8,2013-2014
Southern,357272.8,2012-2013,Southern,651506.2,2013-2014
Western,99373.2,2012-2013,Western,99390.5,2013-2014
Central,284437.2,2014-2015,Central,579653.3,2014-2015
Copperbelt,92714.6,2014-2015,Copperbelt,209761.6,2014-2015
Eastern,363242.4,2014-2015,Eastern,622136.1,2014-2015
Luapula,54469.6,2014-2015,Luapula,134269.6,2014-2015
Lusaka,48914.1,2014-2015,Lusaka,97448.6,2014-2015
Muchinga,96053.2,2014-2015,Muchinga,246587.9,2014-2015
Northern,124480.9,2014-2015,Northern,283250.4,2014-2015
North Western,86105.1,2014-2015,North Western,195584.8,2014-2015
Southern,400789.7,2014-2015,Southern,486200.8,2014-2015
Western,110182.4,2014-2015,Western,61120.6,2014-2015
