province_b,yield,post_yield,pre_yield,correlation,rmse,ubrmse,bias,yield_corrected
0,central,4.029631818181818,2.078340616839513,2.5896648780551907,0.7699798562781098,1.9629836680042407,0.1921721959229171,1.953554383160487,2.0760774350213307
1,copperbelt,4.0128065,2.210159524752684,2.5939156019356333,0.874979463684307,1.842613682568789,0.1109472941230581,1.839270475247316,2.173536024752684
2,eastern,4.0260175,1.7682081992970686,2.0321154724145027,-0.1215220651036269,2.26935586698742,0.0917767527315177,2.267499300702932,1.7585181992970682
3,luapula,4.02575375,2.5543737171934855,2.797467217925991,0.7190221506427416,1.4800086131429673,0.0503867689768294,1.4791506578065148,2.546603092193485
4,lusaka,4.031107083333334,2.115438855667334,2.541583046231898,0.5010591652167622,1.923918443471958,0.085281138397333,1.922027394332666,2.1090796890006676
5,muchinga,4.0535340625,2.6219864269460658,3.2693842241945914,0.650258428649058,1.4409747117318754,0.1295691458089987,1.4351376088393362,2.6183964536606634
6,northern,4.035823958333333,2.440774450361488,2.843990761194543,0.9604818287519838,1.603872552917785,0.157854630081422,1.596085549638512,2.4397384086948213
7,northwestern,4.0388020454545455,2.216511557052785,2.273284541992483,0.8567478323310114,1.844208897785076,0.2348764630811772,1.8291909429472144,2.2096111025073313
8,southern,4.0263925,1.3143073389483666,1.792059380110281,0.2901877842328764,2.720766632019072,0.1454413289504032,2.7168764943849664,1.3095160056150337
9,western,4.03272625,0.7361669401583385,0.9807231384810036,-0.2590643205485043,3.30755144887792,0.2327956437769734,3.2993488410916614,0.7333774089083382
