,province_b,yield,preharvest_yield,correlation,rmse,ubrmse,bias,yield_corrected
0,central,3.953874393939394,2.1868898771114442,0.3796179473659132,1.189460431887008,0.3023760382794042,1.150384653278754,3.437002034641465
1,copperbelt,3.94624425,2.578090836546642,-0.0616507995185599,1.0694032003275766,0.2029109281413269,1.0499763616918665,3.758412469059082
2,eastern,3.9551177222222225,1.9339772088586198,0.4733699558649426,1.7727776702623232,0.1622923112817824,1.7653333605524846,2.2404367416386535
3,luapula,3.9518744444444445,2.7960798059873846,0.1371039014713581,0.9863935712770044,0.1839985201845252,0.9690804001869546,4.077963442127248
4,lusaka,3.957228194444444,2.2051140358232106,0.2875217488346598,1.203676042158283,0.3357562475366304,1.1558995443834856,3.4235052809498976
5,muchinga,3.9669564583333337,3.2178358266800924,0.2056171329668066,0.5360101786677673,0.1883354583910917,0.5018333057381399,7.904928614688877
6,northern,3.963530902777778,2.7091140642540226,0.5719400783834475,1.078417780420909,0.2253573093157384,1.0546084544824823,3.758296158096668
7,northwestern,3.964972348484849,2.3749015977328543,-0.3909515696050714,1.3078190747322982,0.3476199214318572,1.260774017204255,3.144871558566148
8,southern,3.954232222222222,1.3855402369581278,0.4229176235934935,1.8113830368013568,0.375846019423398,1.771961702660442,2.231556255581199
9,western,3.9595257812499995,0.844642999845131,0.165242434688666,2.6514868080288854,0.2608530401043861,2.638624259840629,1.500602356126731
